11.394: [GC 11.394: [ParNew: 3431K->65K(3904K), 0.0004210 secs] 10066K->6700K(12552K), 0.0004611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.398: [GC 11.398: [ParNew: 3450K->69K(3904K), 0.0004265 secs] 10084K->6703K(12552K), 0.0004714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.401: [GC 11.401: [ParNew: 3364K->116K(3904K), 0.0009013 secs] 9998K->6750K(12552K), 0.0009516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.405: [GC 11.405: [ParNew: 3482K->133K(3904K), 0.0020133 secs] 10117K->6768K(12552K), 0.0020818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.413: [GC 11.413: [ParNew: 3499K->127K(3904K), 0.0009624 secs] 10134K->6762K(12552K), 0.0010228 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.417: [GC 11.417: [ParNew: 3508K->132K(3904K), 0.0004679 secs] 10142K->6783K(12552K), 0.0005117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.420: [GC 11.420: [ParNew: 3495K->182K(3904K), 0.0007860 secs] 10145K->6843K(12552K), 0.0008361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.423: [GC 11.423: [ParNew: 3518K->183K(3904K), 0.0006776 secs] 10179K->6844K(12552K), 0.0007215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.426: [GC 11.426: [ParNew: 3566K->131K(3904K), 0.0004069 secs] 10227K->6792K(12552K), 0.0004515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.431: [GC 11.431: [ParNew: 3498K->133K(3904K), 0.0004979 secs] 10159K->6794K(12552K), 0.0005395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.434: [GC 11.434: [ParNew: 3514K->68K(3904K), 0.0010448 secs] 10175K->6729K(12552K), 0.0011033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.439: [GC 11.439: [ParNew: 3376K->140K(3904K), 0.0003911 secs] 10037K->6801K(12552K), 0.0004281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.443: [GC 11.443: [ParNew: 3484K->145K(3904K), 0.0005216 secs] 10145K->6806K(12552K), 0.0005819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.445: [GC 11.445: [ParNew: 3521K->75K(3904K), 0.0003873 secs] 10182K->6736K(12552K), 0.0004275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.447: [GC 11.447: [ParNew: 3455K->156K(3904K), 0.0003600 secs] 10116K->6817K(12552K), 0.0003940 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.451: [GC 11.451: [ParNew: 3522K->158K(3904K), 0.0004118 secs] 10183K->6819K(12552K), 0.0004808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.453: [GC 11.453: [ParNew: 3506K->82K(3904K), 0.0003526 secs] 10167K->6743K(12552K), 0.0003874 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.457: [GC 11.457: [ParNew: 3333K->161K(3904K), 0.0004185 secs] 9994K->6822K(12552K), 0.0004698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.459: [GC 11.459: [ParNew: 3544K->247K(3904K), 0.0004345 secs] 10205K->6908K(12552K), 0.0005111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.463: [GC 11.463: [ParNew: 3608K->84K(3904K), 0.0005469 secs] 10269K->6753K(12552K), 0.0005959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.466: [GC 11.466: [ParNew: 3473K->167K(3904K), 0.0004274 secs] 10142K->6836K(12552K), 0.0004761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.469: [GC 11.469: [ParNew: 3507K->170K(3904K), 0.0004130 secs] 10176K->6839K(12552K), 0.0004516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.477: [GC 11.477: [ParNew: 3562K->6K(3904K), 0.0003443 secs] 10231K->6675K(12552K), 0.0003805 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.486: [GC 11.486: [ParNew: 3378K->39K(3904K), 0.0004505 secs] 10047K->6708K(12552K), 0.0004869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.489: [GC 11.489: [ParNew: 3395K->54K(3904K), 0.0004125 secs] 10064K->6723K(12552K), 0.0004493 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
11.493: [GC 11.493: [ParNew: 3415K->62K(3904K), 0.0004202 secs] 10084K->6731K(12552K), 0.0004706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.495: [GC 11.495: [ParNew: 3418K->70K(3904K), 0.0004542 secs] 10087K->6739K(12552K), 0.0004961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.497: [GC 11.497: [ParNew: 3435K->46K(3904K), 0.0003505 secs] 10104K->6715K(12552K), 0.0003833 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.500: [GC 11.500: [ParNew: 3377K->82K(3904K), 0.0003895 secs] 10046K->6751K(12552K), 0.0004229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.503: [GC 11.503: [ParNew: 3439K->129K(3904K), 0.0005004 secs] 10109K->6798K(12552K), 0.0005425 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.506: [GC 11.506: [ParNew: 3476K->96K(3904K), 0.0003900 secs] 10146K->6765K(12552K), 0.0004318 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.511: [GC 11.511: [ParNew: 3476K->100K(3904K), 0.0005333 secs] 10145K->6769K(12552K), 0.0005863 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.513: [GC 11.513: [ParNew: 3420K->108K(3904K), 0.0006785 secs] 10089K->6777K(12552K), 0.0007241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.517: [GC 11.517: [ParNew: 3500K->122K(3904K), 0.0004700 secs] 10169K->6791K(12552K), 0.0005197 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.521: [GC 11.522: [ParNew: 3514K->177K(3904K), 0.0006795 secs] 10183K->6846K(12552K), 0.0007785 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.524: [GC 11.524: [ParNew: 3568K->110K(3904K), 0.0004371 secs] 10237K->6779K(12552K), 0.0004738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.526: [GC 11.526: [ParNew: 3497K->167K(3904K), 0.0004469 secs] 10166K->6836K(12552K), 0.0004842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.528: [GC 11.528: [ParNew: 3543K->200K(3904K), 0.0004940 secs] 10212K->6885K(12552K), 0.0005306 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.529: [GC 11.529: [ParNew: 3585K->211K(3904K), 0.0004658 secs] 10270K->6904K(12552K), 0.0005036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.532: [GC 11.532: [ParNew: 3600K->229K(3904K), 0.0005863 secs] 10294K->6922K(12552K), 0.0006317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.534: [GC 11.534: [ParNew: 3600K->232K(3904K), 0.0004760 secs] 10293K->6925K(12552K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.536: [GC 11.536: [ParNew: 3598K->214K(3904K), 0.0004368 secs] 10291K->6908K(12552K), 0.0004742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.538: [GC 11.538: [ParNew: 3564K->297K(3904K), 0.0006635 secs] 10257K->6990K(12552K), 0.0007095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.540: [GC 11.540: [ParNew: 3686K->188K(3904K), 0.0004978 secs] 10379K->6897K(12552K), 0.0005406 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.542: [GC 11.542: [ParNew: 3534K->185K(3904K), 0.0006523 secs] 10243K->6894K(12552K), 0.0006942 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.544: [GC 11.544: [ParNew: 3575K->222K(3904K), 0.0004192 secs] 10284K->6931K(12552K), 0.0004533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.546: [GC 11.546: [ParNew: 3592K->258K(3904K), 0.0005596 secs] 10301K->6967K(12552K), 0.0005986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.550: [GC 11.551: [ParNew: 3645K->304K(3904K), 0.0004877 secs] 10354K->7013K(12552K), 0.0005718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.553: [GC 11.553: [ParNew: 3685K->209K(3904K), 0.0004582 secs] 10394K->6918K(12552K), 0.0004974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.558: [GC 11.558: [ParNew: 3601K->278K(3904K), 0.0006962 secs] 10310K->6987K(12552K), 0.0007456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.561: [GC 11.561: [ParNew: 3668K->109K(3904K), 0.0004183 secs] 10377K->6818K(12552K), 0.0004578 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.563: [GC 11.563: [ParNew: 3481K->355K(3904K), 0.0005208 secs] 10190K->7064K(12552K), 0.0005638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.566: [GC 11.566: [ParNew: 3685K->292K(3904K), 0.0006139 secs] 10394K->7081K(12552K), 0.0006600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.569: [GC 11.569: [ParNew: 3613K->188K(3904K), 0.0005263 secs] 10402K->7058K(12552K), 0.0005637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.574: [GC 11.574: [ParNew: 3518K->377K(3904K), 0.0006245 secs] 10388K->7246K(12552K), 0.0006651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.578: [GC 11.578: [ParNew: 3726K->236K(3904K), 0.0006165 secs] 10596K->7177K(12552K), 0.0006737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.581: [GC 11.581: [ParNew: 3587K->416K(3904K), 0.0008417 secs] 10529K->7358K(12552K), 0.0008928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.585: [GC 11.585: [ParNew: 3760K->52K(3904K), 0.0012514 secs] 10701K->7368K(12552K), 0.0013194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.591: [GC 11.591: [ParNew: 3311K->435K(3904K), 0.0008838 secs] 10627K->7751K(12552K), 0.0009451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
